region,indicator,Unit,Date,Value,Preferred
Fresno,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,4.01,YES
Fresno,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.53,YES
Fresno,selfsupplied,Mgal/d,01/01/2000 00:00:00,3.13,YES
Fresno,selfsupplied,Mgal/d,01/01/2005 00:00:00,40.07,YES
Fresno,selfsupplied,Mgal/d,01/01/2010 00:00:00,7.64,YES
Fresno,selfpercapitause,gallons/day,01/01/2010 00:00:00,73,YES
Fresno,public,Mgal/d,01/01/2005 00:00:00,159.95,NO
Fresno,public,Mgal/d,01/01/2010 00:00:00,131.29,NO
Fresno,publicpercapita,gallons/day,01/01/2010 00:00:00,159,NO
Fresno,total,Mgal/d,01/01/2005 00:00:00,200.02,NO
Fresno,total,Mgal/d,01/01/2010 00:00:00,138.93,NO
Glenn,population,thousands,01/01/2000 00:00:00,12.26,YES
Glenn,population,thousands,01/01/2005 00:00:00,11.372,YES
Glenn,population,thousands,01/01/2010 00:00:00,9.852,YES
Glenn,groundwater,Mgal/d,01/01/2000 00:00:00,0.83,YES
Glenn,groundwater,Mgal/d,01/01/2005 00:00:00,1.65,YES
Glenn,groundwater,Mgal/d,01/01/2010 00:00:00,0.66,YES
Glenn,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.09,YES
Glenn,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.66,YES
Glenn,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.07,YES
Glenn,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.92,YES
Glenn,selfsupplied,Mgal/d,01/01/2005 00:00:00,2.31,YES
Glenn,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.73,YES
Glenn,selfpercapitause,gallons/day,01/01/2010 00:00:00,74,YES
Glenn,public,Mgal/d,01/01/2005 00:00:00,5.99,YES
Glenn,public,Mgal/d,01/01/2010 00:00:00,2.65,YES
Glenn,publicpercapita,gallons/day,01/01/2010 00:00:00,145,NO
Glenn,total,Mgal/d,01/01/2005 00:00:00,8.3,YES
Glenn,total,Mgal/d,01/01/2010 00:00:00,3.38,YES
Humboldt,population,thousands,01/01/2000 00:00:00,16.35,YES
Humboldt,population,thousands,01/01/2005 00:00:00,57.894,YES
Humboldt,population,thousands,01/01/2010 00:00:00,10.322,YES
Humboldt,groundwater,Mgal/d,01/01/2000 00:00:00,1.1,YES
Humboldt,groundwater,Mgal/d,01/01/2005 00:00:00,1.46,YES
Humboldt,groundwater,Mgal/d,01/01/2010 00:00:00,0.44,YES
Humboldt,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.12,YES
Humboldt,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,1.46,YES
Humboldt,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.24,YES
Humboldt,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.22,YES
Humboldt,selfsupplied,Mgal/d,01/01/2005 00:00:00,2.92,YES
Humboldt,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.68,YES
Humboldt,selfpercapitause,gallons/day,01/01/2010 00:00:00,66,YES
Humboldt,public,Mgal/d,01/01/2005 00:00:00,11.72,YES
Humboldt,public,Mgal/d,01/01/2010 00:00:00,9.18,YES
Humboldt,publicpercapita,gallons/day,01/01/2010 00:00:00,74,YES
Humboldt,total,Mgal/d,01/01/2005 00:00:00,14.64,YES
Humboldt,total,Mgal/d,01/01/2010 00:00:00,9.86,YES
Imperial,population,thousands,01/01/2000 00:00:00,5.4,YES
Imperial,population,thousands,01/01/2005 00:00:00,30.584,YES
Imperial,population,thousands,01/01/2010 00:00:00,18.178,YES
Imperial,groundwater,Mgal/d,01/01/2000 00:00:00,0.36,YES
Imperial,groundwater,Mgal/d,01/01/2005 00:00:00,0.05,YES
Imperial,groundwater,Mgal/d,01/01/2010 00:00:00,0.28,YES
Imperial,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.04,YES
Imperial,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.08,YES
Imperial,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.3,YES
Imperial,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.4,YES
Imperial,selfsupplied,Mgal/d,01/01/2005 00:00:00,0.13,YES
Imperial,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.58,YES
Imperial,selfpercapitause,gallons/day,01/01/2010 00:00:00,32,YES
Imperial,public,Mgal/d,01/01/2005 00:00:00,24.14,YES
Imperial,public,Mgal/d,01/01/2010 00:00:00,18.03,YES
Imperial,publicpercapita,gallons/day,01/01/2010 00:00:00,115,NO
Imperial,total,Mgal/d,01/01/2005 00:00:00,24.27,YES
Imperial,total,Mgal/d,01/01/2010 00:00:00,18.61,YES
Inyo,population,thousands,01/01/2000 00:00:00,11.04,YES
Inyo,population,thousands,01/01/2005 00:00:00,3.298,YES
Inyo,population,thousands,01/01/2010 00:00:00,1.616,YES
Inyo,groundwater,Mgal/d,01/01/2000 00:00:00,0.75,YES
Inyo,groundwater,Mgal/d,01/01/2005 00:00:00,1.34,YES
Inyo,groundwater,Mgal/d,01/01/2010 00:00:00,0.09,YES
Inyo,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.08,YES
Inyo,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,1.49,YES
Inyo,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.03,YES
Inyo,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.83,YES
Inyo,selfsupplied,Mgal/d,01/01/2005 00:00:00,2.83,YES
Inyo,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.12,YES
Inyo,selfpercapitause,gallons/day,01/01/2010 00:00:00,74,YES
Inyo,public,Mgal/d,01/01/2005 00:00:00,5.77,YES
Inyo,public,Mgal/d,01/01/2010 00:00:00,2.19,YES
Inyo,publicpercapita,gallons/day,01/01/2010 00:00:00,129,NO
Inyo,total,Mgal/d,01/01/2005 00:00:00,8.6,YES
Inyo,total,Mgal/d,01/01/2010 00:00:00,2.31,YES
Kern,population,thousands,01/01/2000 00:00:00,76.05,NO
Kern,population,thousands,01/01/2005 00:00:00,54.695,YES
Kern,population,thousands,01/01/2010 00:00:00,54.071,YES
Kern,groundwater,Mgal/d,01/01/2000 00:00:00,5.13,YES
Kern,groundwater,Mgal/d,01/01/2005 00:00:00,17.78,YES
Kern,groundwater,Mgal/d,01/01/2010 00:00:00,2.09,YES
Kern,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.57,YES
Kern,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,1.98,YES
Kern,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.19,YES
Kern,selfsupplied,Mgal/d,01/01/2000 00:00:00,5.7,YES
Kern,selfsupplied,Mgal/d,01/01/2005 00:00:00,19.76,YES
Kern,selfsupplied,Mgal/d,01/01/2010 00:00:00,2.28,YES
Kern,selfpercapitause,gallons/day,01/01/2010 00:00:00,42,YES
Kern,public,Mgal/d,01/01/2005 00:00:00,111.19,NO
Kern,public,Mgal/d,01/01/2010 00:00:00,134.02,NO
Kern,publicpercapita,gallons/day,01/01/2010 00:00:00,171,NO
Kern,total,Mgal/d,01/01/2005 00:00:00,130.95,NO
Kern,total,Mgal/d,01/01/2010 00:00:00,136.3,NO
Kings,population,thousands,01/01/2000 00:00:00,20.99,YES
Kings,population,thousands,01/01/2005 00:00:00,30.865,YES
Kings,population,thousands,01/01/2010 00:00:00,15.252,YES
Kings,groundwater,Mgal/d,01/01/2000 00:00:00,1.42,YES
Kings,groundwater,Mgal/d,01/01/2005 00:00:00,5.4,YES
Kings,groundwater,Mgal/d,01/01/2010 00:00:00,1.05,YES
Kings,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.16,YES
Kings,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.6,YES
Kings,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.09,YES
Kings,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.58,YES
Kings,selfsupplied,Mgal/d,01/01/2005 00:00:00,6,YES
Kings,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.14,YES
Kings,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Kings,public,Mgal/d,01/01/2005 00:00:00,18.11,YES
Kings,public,Mgal/d,01/01/2010 00:00:00,19.25,YES
Kings,publicpercapita,gallons/day,01/01/2010 00:00:00,140,NO
Kings,total,Mgal/d,01/01/2005 00:00:00,24.11,YES
Kings,total,Mgal/d,01/01/2010 00:00:00,20.39,YES
Lake,population,thousands,01/01/2000 00:00:00,13.65,YES
Lake,population,thousands,01/01/2005 00:00:00,33.693,YES
Lake,population,thousands,01/01/2010 00:00:00,25.945,YES
Lake,groundwater,Mgal/d,01/01/2000 00:00:00,0.92,YES
Lake,groundwater,Mgal/d,01/01/2005 00:00:00,1.04,YES
Lake,groundwater,Mgal/d,01/01/2010 00:00:00,1.64,YES
Lake,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.1,YES
Lake,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0,YES
Lake,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.31,YES
Lake,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.02,YES
Lake,selfsupplied,Mgal/d,01/01/2005 00:00:00,1.04,YES
Lake,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.95,YES
Lake,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Lake,public,Mgal/d,01/01/2005 00:00:00,6.81,YES
Lake,public,Mgal/d,01/01/2010 00:00:00,6.4,YES
Lake,publicpercapita,gallons/day,01/01/2010 00:00:00,165,NO
Lake,total,Mgal/d,01/01/2005 00:00:00,7.85,YES
Lake,total,Mgal/d,01/01/2010 00:00:00,8.35,YES
Lassen,population,thousands,01/01/2000 00:00:00,16.72,YES
Lassen,population,thousands,01/01/2005 00:00:00,20.236,YES
Lassen,population,thousands,01/01/2010 00:00:00,18.215,YES
Lassen,groundwater,Mgal/d,01/01/2000 00:00:00,1.13,YES
Lassen,groundwater,Mgal/d,01/01/2005 00:00:00,3.14,YES
Lassen,groundwater,Mgal/d,01/01/2010 00:00:00,0.47,YES
