region,indicator,Unit,Date,Value,Preferred
Santa Cruz,selfsupplied,Mgal/d,01/01/2000 00:00:00,2.62,YES
Santa Cruz,selfsupplied,Mgal/d,01/01/2005 00:00:00,14.4,YES
Santa Cruz,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.46,YES
Santa Cruz,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Santa Cruz,public,Mgal/d,01/01/2005 00:00:00,17.05,YES
Santa Cruz,public,Mgal/d,01/01/2010 00:00:00,15.8,YES
Santa Cruz,publicpercapita,gallons/day,01/01/2010 00:00:00,65,YES
Santa Cruz,total,Mgal/d,01/01/2005 00:00:00,31.45,YES
Santa Cruz,total,Mgal/d,01/01/2010 00:00:00,17.26,YES
Shasta,population,thousands,01/01/2000 00:00:00,25.56,YES
Shasta,population,thousands,01/01/2005 00:00:00,44.666,YES
Shasta,population,thousands,01/01/2010 00:00:00,14.263,YES
Shasta,groundwater,Mgal/d,01/01/2000 00:00:00,1.73,YES
Shasta,groundwater,Mgal/d,01/01/2005 00:00:00,3.12,YES
Shasta,groundwater,Mgal/d,01/01/2010 00:00:00,0.83,YES
Shasta,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.19,YES
Shasta,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.62,YES
Shasta,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.24,YES
Shasta,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.92,YES
Shasta,selfsupplied,Mgal/d,01/01/2005 00:00:00,3.74,YES
Shasta,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.07,YES
Shasta,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Shasta,public,Mgal/d,01/01/2005 00:00:00,39.47,YES
Shasta,public,Mgal/d,01/01/2010 00:00:00,28.88,YES
Shasta,publicpercapita,gallons/day,01/01/2010 00:00:00,177,YES
Shasta,total,Mgal/d,01/01/2005 00:00:00,43.21,YES
Shasta,total,Mgal/d,01/01/2010 00:00:00,29.95,YES
Sierra,population,thousands,01/01/2000 00:00:00,1.89,YES
Sierra,population,thousands,01/01/2005 00:00:00,0.995,YES
Sierra,population,thousands,01/01/2010 00:00:00,0.41,YES
Sierra,groundwater,Mgal/d,01/01/2000 00:00:00,0.13,YES
Sierra,groundwater,Mgal/d,01/01/2005 00:00:00,0.82,YES
Sierra,groundwater,Mgal/d,01/01/2010 00:00:00,0.02,YES
Sierra,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.01,YES
Sierra,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.07,YES
Sierra,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.01,YES
Sierra,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.14,YES
Sierra,selfsupplied,Mgal/d,01/01/2005 00:00:00,0.89,YES
Sierra,selfsupplied,Mgal/d,01/01/2010 00:00:00,0.03,YES
Sierra,selfpercapitause,gallons/day,01/01/2010 00:00:00,73,YES
Sierra,public,Mgal/d,01/01/2005 00:00:00,1.29,YES
Sierra,public,Mgal/d,01/01/2010 00:00:00,0.46,YES
Sierra,publicpercapita,gallons/day,01/01/2010 00:00:00,163,YES
Sierra,total,Mgal/d,01/01/2005 00:00:00,2.18,YES
Sierra,total,Mgal/d,01/01/2010 00:00:00,0.49,YES
Siskiyou,population,thousands,01/01/2000 00:00:00,20.56,YES
Siskiyou,population,thousands,01/01/2005 00:00:00,31.279,YES
Siskiyou,population,thousands,01/01/2010 00:00:00,16.32,YES
Siskiyou,groundwater,Mgal/d,01/01/2000 00:00:00,1.39,YES
Siskiyou,groundwater,Mgal/d,01/01/2005 00:00:00,3.39,YES
Siskiyou,groundwater,Mgal/d,01/01/2010 00:00:00,0.9,YES
